84562,663,663
87314,676,13
90066,668,-8
90754,668,0
91442,661,-7
92130,745,84
92818,758,13
92990,772,14
93162,780,8
93334,745,-35
93506,747,2
93678,770,23
93850,759,-11
94022,749,-10
94194,710,-39
94366,705,-5
94538,691,-14
94710,698,7
94882,687,-11
95054,684,-3
95226,692,8
95398,691,-1
95570,687,-4
95656,672,-15
95742,677,5
95828,691,14
95914,688,-3
96000,686,-2
96086,670,-16
96172,666,-4
96258,671,5
96344,679,8
96430,676,-3
96516,679,3
96602,676,-3
96688,671,-5
96774,667,-4
96860,666,-1
96946,664,-2
97032,661,-3
97118,657,-4
97204,658,1
97290,658,0
97376,664,6
97462,673,9
97548,672,-1
97634,672,0
97720,672,0
97806,672,0
97892,674,2
97978,671,-3
98064,670,-1
98150,666,-4
98236,663,-3
98322,659,-4
98408,661,2
98494,663,2
98580,665,2
98666,662,-3
98752,659,-3
98838,658,-1
98924,662,4
99010,663,1
99096,665,2
99182,664,-1
99268,663,-1
99354,659,-4
99440,657,-2
99526,653,-4
99612,653,0
99698,651,-2
99784,653,2
99870,654,1
99956,655,1
100042,654,-1
100128,655,1
100214,654,-1
100300,654,0
100386,652,-2
100472,653,1
100558,652,-1
100644,652,0
100730,651,-1
100816,651,0
100902,649,-2
100988,650,1
101074,649,-1
101160,650,1
101246,646,-4
101332,642,-4
101418,636,-6
101504,632,-4
101590,619,-13
101676,602,-17
101762,582,-20
101848,569,-13
101934,560,-9
102020,556,-4
102106,552,-4
102192,550,-2
102278,546,-4
102364,543,-3
102450,539,-4
102536,537,-2
102622,533,-4
102708,531,-2
102794,527,-4
102880,524,-3
102966,519,-5
103052,517,-2
103138,513,-4
103224,511,-2
103310,509,-2
103396,514,5
103482,512,-2
103568,504,-8
103654,493,-11
103740,489,-4
103826,483,-6
103912,477,-6
103998,470,-7
104084,463,-7
104170,453,-10
104256,442,-11
104342,429,-13
104428,418,-11
104514,405,-13
104600,394,-11
104686,380,-14
104772,368,-12
104858,354,-14
104944,341,-13
105030,327,-14
105116,315,-12
105202,300,-15
105288,290,-10
105374,276,-14
105546,267,-9
105632,255,-12
105718,244,-11
105804,233,-11
105890,192,-41
105976,190,-2
106062,186,-4
106148,157,-29
106234,144,-13
106320,133,-11
106406,135,2
106492,125,-10
106578,118,-7
106750,101,-17
106922,82,-19
107094,74,-8
107266,64,-10
107438,64,0
107610,64,0
107782,50,-14
107954,50,0
108126,50,0
108298,50,0
108470,32,-18
108642,50,18
108814,50,0
108986,32,-18
109158,50,18
109330,32,-18
109932,32,0
110620,50,18
111308,50,0
111996,32,-18
114748,32,0
117500,32,0
120252,32,0
123004,32,0
125756,50,18
128508,50,0
131260,64,14
134012,64,0
136764,64,0
139516,82,18
142268,96,14
145106,89,-7
147858,74,-15
150610,74,0
153362,74,0
156114,82,8
158866,74,-8
159554,82,8
160242,74,-8
160930,82,8
161618,74,-8
161790,74,0
161962,74,0
162048,74,0
162220,89,15
162392,50,-39
162564,82,32
162736,82,0
162908,50,-32
163080,82,32
163252,64,-18
163424,64,0
163596,82,18
163768,64,-18
163854,82,18
163940,89,7
164026,74,-15
164112,50,-24
164198,64,14
164284,74,10
164370,89,15
164456,74,-15
164542,82,8
164628,64,-18
164714,50,-14
164800,82,32
164886,82,0
164972,89,7
165058,74,-15
165144,64,-10
165230,64,0
165316,74,10
165402,82,8
165488,89,7
165574,74,-15
165660,32,-42
165746,74,42
165832,82,8
165918,82,0
166004,74,-8
166090,64,-10
166176,50,-14
166262,82,32
166348,89,7
166434,82,-7
166520,74,-8
166692,50,-24
166778,74,24
166864,82,8
166950,82,0
167036,82,0
167122,50,-32
167208,74,24
167294,96,22
167380,89,-7
167466,101,12
167552,96,-5
167638,74,-22
167724,106,32
167810,110,4
167896,106,-4
167982,110,4
168068,101,-9
168154,121,20
168240,138,17
168326,133,-5
168412,110,-23
168498,144,34
168584,169,25
168670,121,-48
168756,182,61
168842,195,13
168928,218,23
169014,226,8
169100,237,11
169186,248,11
169272,260,12
169358,272,12
169444,285,13
169530,297,12
169616,310,13
169702,323,13
169788,336,13
169874,350,14
169960,363,13
170046,376,13
170132,388,12
170218,399,11
170304,409,10
170390,418,9
170476,427,9
170562,435,8
170648,444,9
170734,452,8
170820,460,8
170906,467,7
170992,473,6
171078,479,6
171164,485,6
171250,492,7
171336,495,3
171422,500,5
171508,504,4
171594,508,4
171680,513,5
171766,517,4
171852,521,4
171938,525,4
172024,529,4
172110,532,3
172196,536,4
172282,538,2
172368,541,3
172454,545,4
172540,546,1
172626,549,3
172712,551,2
172798,553,2
172884,555,2
172970,557,2
173056,559,2
173142,561,2
173228,561,0
173314,563,2
173400,565,2
173486,566,1
173572,568,2
173658,568,0
173744,569,1
173830,570,1
173916,572,2
174002,571,-1
174088,573,2
174174,575,2
174260,575,0
174346,576,1
174432,577,1
174518,577,0
174604,578,1
174690,579,1
174862,580,1
175034,582,2
175206,582,0
175378,585,3
175550,585,0
175722,588,3
175894,587,-1
176066,590,3
176238,590,0
176410,592,2
176582,592,0
176754,594,2
176926,593,-1
177098,596,3
177270,595,-1
177442,597,2
178130,598,1
178818,606,8
179506,620,14
180194,627,7
